period,metric,revenue_vnd_bn
2025A,AVAKids Revenue,1400.0
2025A,An Khang Revenue,2200.0
2025A,BHX Revenue,46900.0
2025A,DMX Revenue,68400.0
2025A,Revenue Check: Segment Sum - Total Revenue,0.0
2025A,TGDD / TopZone Revenue,37300.0
2026E,AVAKids Revenue,1680.0
2026E,An Khang Revenue,2860.0
2026E,BHX Revenue,55500.0
2026E,DMX Revenue,80924.05523255814
2026E,Revenue Check: Segment Sum - Total Revenue,0.0
2026E,TGDD / TopZone Revenue,39325.944767441855
2027E,AVAKids Revenue,1982.0224719101122
2027E,An Khang Revenue,3525.2148148148144
2027E,BHX Revenue,73515.27459954233
2027E,DMX Revenue,85693.9756167544
2027E,Revenue Check: Segment Sum - Total Revenue,0.0
2027E,TGDD / TopZone Revenue,40898.98255813953
2028E,AVAKids Revenue,2267.433707865169
2028E,An Khang Revenue,4060.0560000000005
2028E,BHX Revenue,88192.61155606408
2028E,DMX Revenue,89978.67439759211
2028E,Revenue Check: Segment Sum - Total Revenue,0.0
2028E,TGDD / TopZone Revenue,42125.95203488371
2029E,AVAKids Revenue,2572.5066067415733
2029E,An Khang Revenue,4513.751146666667
2029E,BHX Revenue,101081.65469107551
2029E,DMX Revenue,93577.8213734958
2029E,Revenue Check: Segment Sum - Total Revenue,0.0
2029E,TGDD / TopZone Revenue,43389.73059593023
2030E,AVAKids Revenue,2870.4886220224726
2030E,An Khang Revenue,4915.0472249185195
2030E,BHX Revenue,112697.20371624714
2030E,DMX Revenue,96385.15601470068
2030E,Revenue Check: Segment Sum - Total Revenue,0.0
2030E,TGDD / TopZone Revenue,44474.47386082848
3M2026A,BHX Revenue,13100.0
3M2026A,DMX Revenue,21512.0
3M2026A,Revenue Check: Segment Sum - Total Revenue,0.0
3M2026A,TGDD / TopZone Revenue,10872.0
5M2026A,AVAKids Revenue,700.0
5M2026A,An Khang Revenue,1109.1666666666667
5M2026A,BHX Revenue,23114.428
5M2026A,DMX Revenue,36650.617
5M2026A,Revenue Check: Segment Sum - Total Revenue,0.0
5M2026A,TGDD / TopZone Revenue,17810.775
