date,mwg_price_vnd,vnindex,source
2025-07-04,65360,1386.97,vnstock Quote.history source=VCI
2025-07-11,66940,1457.76,vnstock Quote.history source=VCI
2025-07-18,69700,1497.28,vnstock Quote.history source=VCI
2025-07-25,70100,1531.13,vnstock Quote.history source=VCI
2025-08-01,65200,1495.21,vnstock Quote.history source=VCI
2025-08-08,72000,1584.95,vnstock Quote.history source=VCI
2025-08-15,70500,1630,vnstock Quote.history source=VCI
2025-08-22,70300,1645.47,vnstock Quote.history source=VCI
2025-08-29,78000,1682.21,vnstock Quote.history source=VCI
2025-09-05,75000,1666.97,vnstock Quote.history source=VCI
2025-09-12,79000,1667.26,vnstock Quote.history source=VCI
2025-09-19,78600,1658.62,vnstock Quote.history source=VCI
2025-09-26,77900,1660.7,vnstock Quote.history source=VCI
2025-10-03,77000,1645.82,vnstock Quote.history source=VCI
2025-10-10,82000,1747.55,vnstock Quote.history source=VCI
2025-10-17,84500,1731.19,vnstock Quote.history source=VCI
2025-10-24,85700,1683.18,vnstock Quote.history source=VCI
2025-10-31,82600,1639.65,vnstock Quote.history source=VCI
2025-11-07,76500,1599.1,vnstock Quote.history source=VCI
2025-11-14,81400,1635.46,vnstock Quote.history source=VCI
2025-11-21,80000,1654.93,vnstock Quote.history source=VCI
2025-11-28,79900,1690.99,vnstock Quote.history source=VCI
2025-12-05,85100,1741.32,vnstock Quote.history source=VCI
2025-12-12,78500,1646.89,vnstock Quote.history source=VCI
2025-12-19,82900,1704.31,vnstock Quote.history source=VCI
2025-12-26,87000,1729.8,vnstock Quote.history source=VCI
2026-01-02,88400,1784.49,vnstock Quote.history source=VCI
2026-01-09,86000,1867.9,vnstock Quote.history source=VCI
2026-01-16,87000,1879.13,vnstock Quote.history source=VCI
2026-01-23,85800,1870.79,vnstock Quote.history source=VCI
2026-01-30,92900,1829.04,vnstock Quote.history source=VCI
2026-02-06,88400,1755.49,vnstock Quote.history source=VCI
2026-02-13,92800,1824.09,vnstock Quote.history source=VCI
2026-02-27,93100,1880.33,vnstock Quote.history source=VCI
2026-03-06,82700,1767.84,vnstock Quote.history source=VCI
2026-03-13,82000,1696.24,vnstock Quote.history source=VCI
2026-03-20,79700,1647.81,vnstock Quote.history source=VCI
2026-03-27,81000,1672.8,vnstock Quote.history source=VCI
2026-04-03,79300,1684.04,vnstock Quote.history source=VCI
2026-04-10,81500,1750,vnstock Quote.history source=VCI
2026-04-17,86900,1817.17,vnstock Quote.history source=VCI
2026-04-24,83500,1853.29,vnstock Quote.history source=VCI
2026-05-01,84000,1854.1,vnstock Quote.history source=VCI
2026-05-08,84600,1915.37,vnstock Quote.history source=VCI
2026-05-15,82000,1921.6,vnstock Quote.history source=VCI
2026-05-22,79400,1877.13,vnstock Quote.history source=VCI
2026-05-29,76300,1863.49,vnstock Quote.history source=VCI
2026-06-05,78000,1838.9,vnstock Quote.history source=VCI
2026-06-12,76400,1791.65,vnstock Quote.history source=VCI
2026-06-19,78000,1824.53,vnstock Quote.history source=VCI
2026-06-26,78500,1871.91,vnstock Quote.history source=VCI
